title	author	genre	pages	language	country	publisher
The Metropolis Case	matthew gallaway	novel	372 (hardcover)		united states	crown publishing group
Saigon (Grey novel)	anthony grey	historical novel	789 pages			weidenfeld  &  nicolson
In Chancery	john galsworthy	novel			great britain	
Can I Have 5 Minutes of Your Time?	hal becker	non-fiction			united states	
The Legion (novel)	simon scarrow	historical novel	384		united kingdom	headline (uk)
Praetorian (novel)	simon scarrow	historical novel	497		united kingdom	headline (uk)
The Search for WondLa	tony diterlizzi	science fiction	496 pp		united states	simon  &  schuster
The Winner Stands Alone	paulo coelho	novel	375 pp (paperback edition)		brazil	
More Than Good Intentions	dean karlan and jacob appel	non-fiction	320			dutton press
The 4-Hour Body	tim ferriss	non-fiction	592 pp		united states	
Farlander	col buchanan	fantasy	400 p			
The Film That Changed My Life	robert k. elder	non-fiction	304		united states	chicago review press
The Twenty-Four-Inch Home Run	michael g. bryson	non-fiction	293			contemporary books
Goblins in the Castle	bruce coville	fantasy	164		united states	pocket books
Guitar Zero	gary marcus	non-fiction	288		united kingdom	penguin books
Alliances (novel)		fantasy novel			united states	
Saga of Old City	gary gygax	fantasy			united states	tsr, inc.
Hansuli Banker Upakatha (novel)	tarashankar bandopadhyay	novel			india	
Jar Jar Binks Must Die	daniel m. kimmel	non-fiction	191		united states	fantastic books
Our Mathematical Universe	max tegmark	non-fiction	432		united states	knopf
That Which That Orphan Saw	mohammad reza sarshar	children's novel	592		iran	beh nashr (astan quds razavi publication), sureye mehr publication
Brother Dusty-Feet	rosemary sutcliff	historical novel	248 pp		united kingdom	oup
Liar  &  Spy	rebecca stead	children's novel	192		united states	wendy lamb (penguin random house)
Draft:Blood on Snow	jo nesbø	crime novel	208		norway	harvill secker
We Three (novel)	jean echenoz	novel			france	les éditions de minuit (france)  dalkey archive press (us)
Eisenhower Decides To Run	william b. pickett	non-fiction			united states	ivan r. dee
Draft:The Stainless Steel Rat (novel)	harry harrison	science fiction	272 pp		united states	tor books
Dwight David Eisenhower and American Power	william b. pickett	non-fiction	215		united states	harlan davidson
The Mask of the Sorcerer	darrell schweitzer	fantasy	421 pages		united states	new english library
The Mandarin (novel)	josé maria de eça de queirós	fantasy	84		portugal	dedalus
Mountains of the Mind	robert macfarlane	non-fiction	320			granta books
Draft:The Wicked King	holly black	fantasy			united states	little brown books for young readers
The Generation of Rage in Kashmir	david devadas	non-fiction			india	oxford university press
Rocket Men	robert kurson	non-fiction	336 pp (hardcover)		united states	random house
The Powers of the Earth	travis j i corcoran	fiction	610 pp.		united states	morlock publishing
Draft:Różaniec (novel)	rafał kosik	science fiction	510			powergraph
Draft:Faith: A Journey for All	jimmy carter	non-fiction			united states	simon  &  schuster
Draft:Fidelity (novel)	susan glaspell	novel			united states	small, maynard and company
The Heartfulness Way	kamlesh d. patel   joshua pollock	non-fiction	196 pp		india, united states	westland publications private limited
Ganadevata (novel)	tarasankar bandyopadhyay	novel			india	
Lethal Passage	erik larson	non-fiction	304		usa	vintage books
The Island at the Center of the World	russell shorto	non-fiction	384		usa	vintage books
Empire of Sin	gary krist	non-fiction	432		usa	crown publishing group
The Immortal Irishman	timothy egan	non-fiction	384		usa	houghton mifflin harcourt
Gettysburg: The Last Invasion	allen guelzo	non-fiction	656		u.s.	knopf
The Nixon Administration and the Death of Allende's Chile	jonathan haslam	non-fiction	245		usa	verso books
Two Paths: America Divided or United	john kasich	non-fiction	321		united states	thomas dunne books
Pink Floyd: The Music and the Mystery	andy mabbett	non-fiction	168 (first edition)		united kingdom	omnibus press
You Disappear (novel)	christian jungersen	novel			denmark	gyldendal (denmark), nan a. talese (english)
Rummies	peter benchley	fiction	340		usa	fawcett publications
Draft:Darkest Hour (Chadbourn novel)	mark chadbourn	fantasy				pyr
Draft:'Kasab: The Face of 26/11'	rommel rodrigues	non-fiction	288		india	penguin india
Draft:Kasab: The Face of 26/11	rommel rodrigues	non-fiction	288		india	penguin india
Meltdown (Clearfield and Tilcsik book)	chris clearfield, andrás tilcsik	non-fiction	304 pg.		united states	penguin press, atlantic books, penguin random house canada
Empires of Eve	andrew groen	fiction	188 pages		united states	lightburn industries
The Broad Arrow	caroline leakey	fiction	444pp.   (2 volumes)		england, australia	richard bentley (publisher)
Twitter and Tear Gas	zeynep tufekci	non-fiction	360			yale university press
Liars, Leakers, and Liberals	jeanine pirro	non-fiction	288		united states	center street
The Lost Boys of Bird Island	mark minnie and chris steyn	non-fiction	224		south africa	tafelberg
Draft:The Prairie Keepers	marcy cottrell houle	non-fiction	266		united states	
A Suitable Vengeance	elizabeth george	crime novel			united states	
For the Sake of Elena	elizabeth george	crime novel			united states	
Missing Joseph	elizabeth george	crime novel			united states	
Playing for the Ashes	elizabeth george	crime novel			united states	
In the Presence of the Enemy	elizabeth george	crime novel			united states	
Knights fee	rosemary sutcliff	historical novel	237		united kingdom	oxford university press
Badge of Infamy	lester del rey	science fiction novel	121		united states	galaxy science fiction novels
The Mighty Warriors	edited by  robert m. price	fantasy	239 pp.		united states	ulthar press
An Unkindness of Ghosts	rivers solomon	science fiction	340		united states of america	akashic books
And No Quarter	maurice walsh	historical novel	237		united kingdom	w  &  r chambers
The Order of Time (book)	carlo rovelli	non-fiction	224 (english edition)		italy	penguin books (english edition)
Reality Is Not What It Seems	carlo rovelli	non-fiction	288 (english edition)		italy	several
Significant Figures (book)	ian stewart	non-fiction	303		united states	basic books
When Einstein Walked With Gödel	jim holt	non-fiction	384 pages		united states	farrar, straus and giroux
The Great Bridge (book)	david mccullough	non-fiction	636 pages		u.s.	simon  &  schuster
The Johnstown Flood (book)	david mccullough	non-fiction	302		u.s.	simon  &  schuster
The Fates of the Princes of Dyfed	kenneth morris	fantasy	xiv, 365 pages		united states	aryan theosophical press
The Shattered Goddess	darrell schweitzer	fantasy	183 pages		united states	starblaze/the donning company
The Change We Choose	gordon brown	non-fiction	300		united kingdom	mainstream publishing
Plan for Chaos	john wyndham	science fiction novel	263 pp (first edition, hardcover)		united kingdom	liverpool university press
Eternity Road (novel)	jack mcdevitt	science fiction novel	416 pp (paperback)		united states	eos
The Intangibles of Leadership	richard davis	non-fiction	256		canada	jossey-bass
Hordubal	karel čapek	novel	249		czechoslovakia	
The Rose in Splendour: a Story of the Wars of Lancaster and York	leslie barringer	historical novel	160		united kingdom	phoenix house
The Law and the McLaughlins	margaret wilson	novel	308		united states	doubleday, doran  &  company, inc.
New Adventures of Alice	john rae	fantasy novel	160 p.		united states	p. f. volland
Blood Feud (novel)	rosemary sutcliff	historical novel			united kingdom	the bodley head
Lost Face	jack london	fiction	240		united states	macmillan
Stone Spring	stephen baxter	science fiction	496 (hardcover)		united kingdom	gollancz
Život a dílo skladatele Foltýna	karel čapek	novel				
Traitor to the Living	philip josé farmer	science fiction			united states	ballantine books
The Long Loud Silence	wilson a. tucker	science fiction novel			united states	rinehart
Broken as Things Are	martha witt	novel	304 pp		united states	henry holt and co.
The Twisted Sisterhood	kelly valen	non-fiction				random house/ballantine books
Phule's Paradise	robert asprin	science fiction	256pp (first edition)		united states	ace books
Daniel X: Demons and Druids	james patterson and adam sadler	science fiction novel			english	doubleday
The Black Prism	brent weeks	fantasy	640 (hardcover)		united states	orbit books
Mon village à l'heure allemande	jean-louis bory	novel	307		france	flammarion
Cognitive Surplus	clay shirky	non-fiction	256			penguin group
Querelles de famille	georges duhamel	novel	247			mercure de france
Low Life (book)	luc sante	non-fiction	414		united states	macmillan (hardcover)  farrar, straus and giroux (paperback)
Pichilemu Blues	esteban valenzuela	novel			chile	editorial los andes
The Bravo	james fenimore cooper	novel			united states	
Sulphuric Acid (novel)	amélie nothomb	novel			france	
Antichrista	amélie nothomb	novel			france	
The Life of Hunger	amélie nothomb	novel			france	
Biswasghatak	narayan sanyal	novel	130		india	dey's publishing
Room (novel)	emma donoghue	novel	336 pp (hardback)		canada, ireland	pan macmillan (canada)  little, brown (us)
Tales from the Planet Earth	edited by frederik pohl and elizabeth anne hull	science fiction	xviii + 268		united states	st. martin's press
The Stranger Next Door	amélie nothomb	novel			belgium	
The Enemy's Cosmetique	amélie nothomb	novel			belgium	
The Chainbearer	james fenimore cooper	novel			united states	
Medusa: A Tiger by the Tail	jack l. chalker	science fiction novel			united states	del rey
Embassytown	china miéville	science fiction	404		united kingdom	pan macmillan
Hygiene and the Assassin	amélie nothomb	novel	181 pp		belgium	
Sun Horse, Moon Horse	rosemary sutcliff	historical novel			united kingdom	the bodley head
The Book of Proper Names	amélie nothomb	novel	170		belgium	
Loving Sabotage	amélie nothomb	novel			france	
The 1981 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	252 pp.		united states	daw books
The 1982 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	304 pp.		united states	daw books
Memoirs of an Invisible Man	h. f. saint	science fiction novel	396 pp		united states	atheneum books (hardcover, paperback), dell publishing (paperback)
The 1983 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	255 pp.		united states	daw books
The Reluctant Tommy	ronald skirth   editor:  duncan barrett	non-fiction	324		united kingdom	pan macmillan limited
Zendegi	greg egan	science fiction	332		united kingdom	
The Crucible of Time	john brunner	science fiction	288 pp			del rey/ballantine
The Heidenmauer	james fenimore cooper	novel			united states	
In an Antique Land	amitav ghosh	non-fiction			india	ravi dayal publishers
The 1984 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	256 pp.		united states	daw books
Pierre et Luce	romain rolland	novel	136 pp (first english edition, hardcover)		france	
The Cosmic Landscape	leonard susskind	non-fiction	416 pages		united states	little, brown and company
Outcast (Sutcliff novel)	rosemary sutcliff	historical novel			united kingdom	oup
Pro Football: Its Ups and Downs	dr. harry march	novel	160		united states	j.b. lyon company
Fifty Years a Hunter and Trapper	eldred nathaniel woodcock	non-fiction	318 pp		america	a. r. harding publishing co.
The Cambridge Quintet	john l. casti	novel				helix books/addison-wesley
The Sleeping Beauty (novel)	mercedes lackey	fantasy novel			united states	luna books (harlequin enterprises)
Captains and the Kings	taylor caldwell	historical novel	816		united states	fawcett publications
Surface Detail	iain m. banks	science fiction novel	604 (hardcover)		scotland	orbit
The 1985 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	302 pp.		united states	daw books
The 1986 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	303 pp.		united states	daw books
The 1987 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	303 pp.		united states	daw books
The Mathematics of Magic	l. sprague de camp and fletcher pratt	fantasy			united states	street  &  smith
The 1988 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	303 pp.		united states	daw books
The 1989 Annual World's Best SF	edited by  donald a. wollheim and arthur w. saha	science fiction	315 pp.		united states	daw books
Rzeźnik drzew	andrzej pilipiuk	fantasy			poland	fabryka słów
Greybeard	brian aldiss	science fiction	237 (uk)  245 (us)  207 (us paperback)			faber  &  faber (uk)  harcourt, brace and world (cloth) (us)  signet (mass market)
Fable: The Balverine Order	peter david	fiction	416		united states	ace books
World's Best Science Fiction: 1965	edited by  donald a. wollheim and terry carr	science fiction	288 pp.		united states	ace books
World's Best Science Fiction: 1971	edited by  donald a. wollheim and terry carr	science fiction	349 pp.		united states	ace books
Mink Trapping	arthur robert harding	non-fiction	183 pp		america	a. r. harding publishing co.
Hull Zero Three	greg bear	science fiction novel	320 (hardcover)		united states	orbit
Sang Pemimpi	andrea hirata	novel	x, 292 pages		indonesia	•yogyakarta: bentang pustaka
Schooled (novel)	gordon korman	children's novel	208		canada	scholastic
Cargo of Eagles	margery allingham	crime novel			united kingdom	chatto  &  windus
The Worst Hard Time	timothy egan	non-fiction	352 pp (first edition)		united states	houghton mifflin harcourt (hardcover)  mariner books (paperback)
Gauntlgrym	r. a. salvatore	fantasy	345 ((first edition))		united states	wizards of the coast
El delantero centro fue asesinado al atardecer	manuel vázquez montalbán	novel			spain	
World's Best Science Fiction: 1966	edited by  donald a. wollheim and terry carr	science fiction	287 pp.		united states	ace books
World's Best Science Fiction: 1967	edited by  donald a. wollheim and terry carr	science fiction	285 pp.		united states	ace books
The Third Terrorist	jayna davis	non-fiction	384			thomas nelson
World Soul (novel)	mikhail yemtsev and yeremey parnov	science fiction	178 pp			macmillan
Conjure Wife	fritz leiber	fantasy			united states	street  &  smith publications for unknown worlds
Hollywood Husbands	jackie collins	novel	536		united states	pocket books, division of simon  &  schuster
Pinheads and Patriots	bill o'reilly	non-fiction	272 (hardcover)		united states	william morrow
The Dragon's Apprentice	james a. owen	fantasy novel	376 (hardcover)		united states	simon  &  schuster
Help! I'm Trapped in my Teacher's Body	todd strasser	fiction				scholastic press
Small g: a Summer Idyll	patricia highsmith	fiction	263 pp		united kingdom	
World's Best Science Fiction: 1970	edited by  donald a. wollheim and terry carr	science fiction	349 pp.		united states	ace books
The Coming of the Terraphiles	michael moorcock	science fiction	343		united kingdom	bbc books
Mary Ann in Autumn	armistead maupin	novel	304		united states	harpercollins
The Savage Girl (novel)	alex shakar	fiction	288		united states	harpercollins
Politikk som idékamp	johannes waage løvhaug	non-fiction	336 pp.		norway	pax forlag
World's Best Science Fiction: 1968	edited by  donald a. wollheim and terry carr	science fiction	319 pp.		united states	ace books
World's Best Science Fiction: 1969	edited by  donald a. wollheim and terry carr	science fiction	280 pp.		united states	ace books
Lady in Waiting (novel)	rosemary sutcliff	historical novel				hodder  &  stoughton
The Best Science Fiction of the Year 1	edited by  terry carr	science fiction	340 pp.		united states	ballantine books
Walking to Hollywood	will self	novel	448 pp		united kingdom	bloomsbury publishing plc
Gladys in Grammarland	audrey mayhew allen	fantasy novel	48		united kingdom	roxburghe press
The Best Science Fiction of the Year 2	edited by  terry carr	science fiction	370 pp.		united states	ballantine books
Computer Graphics: Principles and Practice	james d. foley, andries van dam, steven k. feiner, john hughes	non-fiction	1175		united states	addison-wesley
The Warrior's Apprentice	lois mcmaster bujold	science fiction			united states	baen books
Cetaganda	lois mcmaster bujold	science fiction	302		united states	baen books
The Midnight Charter	david whitley	fantasy	384		united kingdom	puffin
The Canticle of Whispers	david whitley	fantasy			united kingdom	roaring brook press
The Children of the Lost	david whitley	fantasy	416		united kingdom	puffin
The Accidental Teacher	annie lubliner lehmann	non-fiction	184		united states	the university of michigan press
Luka and the Fire of Life	salman rushdie	fiction	217		united kingdom	random house
The Gates of Thorbardin	dan parkinson	fantasy novel	310		united states	tsr, inc.
Reckless (Funke novel)	cornelia funke  lionel wigram	fantasy			united kingdom	chicken house
Empire (Saylor novel)	steven saylor	historical novel	589		united states	st martin's press
The Best Science Fiction of the Year 3	edited by  terry carr	science fiction	368 pp.		united states	ballantine books
Mission: Earth, Voyage to the Home Planet		non-fiction	40		united states	scholastic
The New Prime	jack vance	science fiction				worlds beyond
The Best Science Fiction of the Year 4	edited by  terry carr	science fiction	304 pp.		united states	ballantine books
The Fall of the Pagoda	eileen chang	novel	308		china	hong kong university press
Cho tôi xin một vé đi tuổi thơ	nguyễn nhật ánh	novel			vietnam	tre publishing house
The Best Science Fiction of the Year 5	edited by  terry carr	science fiction	367 pp.		united states	ballantine books
The Last Dragon (novel)	silvana de mari	fantasy	368 pp (us edition)		italy	salani
Delusions of Gender	cordelia fine	non-fiction	338		united states	
The Best Science Fiction of the Year 6	edited by  terry carr	science fiction	388 pp.		united states	del rey books
Year's Best SF 15	edited by david g. hartwell and kathryn cramer	science fiction	494 pp		united states	eos
Hide My Eyes	margery allingham	crime novel			united kingdom	chatto  &  windus
Un destino ridicolo	fabrizio de andré    alessandro gennari	novel			italy	einaudi
The Sentimentalists (novel)	johanna skibsrud	novel	216 pages			gaspereau press,  douglas  &  mcintyre
Frozen in Time (novel)	ali sparkes	novel	336		united kingdom	oup oxford
The Dark Griffin	k.j. taylor	fantasy	528		australia	harpervoyager, harpercollinspublishers
